model,replicate,trajectory,variable,final_mean,final_window_std
classic,22,B,regolith_fraction,0.908853456373777,6.661338147750939e-16
classic,22,B,carbon_memory,0.29754163943942374,3.885780586188048e-16
classic,22,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,23,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,23,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,23,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,23,A,regolith_fraction,0.9188900472275958,1.1102230246251565e-15
classic,23,A,carbon_memory,0.5654452862273867,6.661338147750939e-16
classic,23,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,23,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,23,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,23,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,23,B,regolith_fraction,0.9188900472275958,1.1102230246251565e-15
classic,23,B,carbon_memory,0.5654452862273867,6.661338147750939e-16
classic,23,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,24,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,24,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,24,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,24,A,regolith_fraction,0.9265101783846045,1.4432899320127035e-15
classic,24,A,carbon_memory,0.13557895751789012,1.942890293094024e-16
classic,24,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,24,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,24,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,24,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,24,B,regolith_fraction,0.9265101783846045,1.4432899320127035e-15
classic,24,B,carbon_memory,0.13557895751789012,1.942890293094024e-16
classic,24,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,25,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,25,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,25,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,25,A,regolith_fraction,0.7537844975064538,2.220446049250313e-16
classic,25,A,carbon_memory,0.37008021014117054,4.440892098500626e-16
classic,25,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,25,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,25,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,25,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,25,B,regolith_fraction,0.7537844975064538,2.220446049250313e-16
classic,25,B,carbon_memory,0.37008021014117054,4.440892098500626e-16
classic,25,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,26,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,26,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,26,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,26,A,regolith_fraction,0.6370689914272899,1.1102230246251565e-15
classic,26,A,carbon_memory,0.1552390781756565,3.3306690738754696e-16
classic,26,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,26,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,26,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,26,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,26,B,regolith_fraction,0.6370689914272899,1.1102230246251565e-15
classic,26,B,carbon_memory,0.1552390781756565,3.3306690738754696e-16
classic,26,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,27,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,27,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,27,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,27,A,regolith_fraction,0.8628637992261148,4.440892098500626e-16
classic,27,A,carbon_memory,0.23593883836348703,1.6653345369377348e-16
classic,27,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,27,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,27,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
