time_myr,obliquity_A_deg,eccentricity_A,obliquity_B_deg,eccentricity_B
-2.860000000000152,70.0,0.3,10.0,0.01
-2.8400000000001526,70.0,0.3,10.0,0.01
-2.820000000000153,70.0,0.3,10.0,0.01
-2.8000000000001535,70.0,0.3,10.0,0.01
-2.780000000000154,70.0,0.3,10.0,0.01
-2.7600000000001543,70.0,0.3,10.0,0.01
-2.7400000000001548,70.0,0.3,10.0,0.01
-2.720000000000155,70.0,0.3,10.0,0.01
-2.7000000000001556,70.0,0.3,10.0,0.01
-2.680000000000156,70.0,0.3,10.0,0.01
-2.6600000000001565,70.0,0.3,10.0,0.01
-2.640000000000157,70.0,0.3,10.0,0.01
-2.6200000000001573,70.0,0.3,10.0,0.01
-2.6000000000001577,70.0,0.3,10.0,0.01
-2.580000000000158,70.0,0.3,10.0,0.01
-2.5600000000001586,70.0,0.3,10.0,0.01
-2.540000000000159,70.0,0.3,10.0,0.01
-2.5200000000001594,70.0,0.3,10.0,0.01
-2.50000000000016,70.0,0.3,10.0,0.01
-2.4800000000001603,70.0,0.3,10.0,0.01
-2.4600000000001607,70.0,0.3,10.0,0.01
-2.440000000000161,70.0,0.3,10.0,0.01
-2.4200000000001616,70.0,0.3,10.0,0.01
-2.400000000000162,70.0,0.3,10.0,0.01
-2.3800000000001624,70.0,0.3,10.0,0.01
-2.360000000000163,70.0,0.3,10.0,0.01
-2.3400000000001633,70.0,0.3,10.0,0.01
-2.3200000000001637,70.0,0.3,10.0,0.01
-2.300000000000164,70.0,0.3,10.0,0.01
-2.2800000000001646,70.0,0.3,10.0,0.01
-2.260000000000165,70.0,0.3,10.0,0.01
-2.2400000000001654,70.0,0.3,10.0,0.01
-2.220000000000166,70.0,0.3,10.0,0.01
-2.2000000000001663,70.0,0.3,10.0,0.01
-2.1800000000001667,70.0,0.3,10.0,0.01
-2.160000000000167,70.0,0.3,10.0,0.01
-2.1400000000001675,70.0,0.3,10.0,0.01
-2.120000000000168,70.0,0.3,10.0,0.01
-2.1000000000001684,70.0,0.3,10.0,0.01
-2.080000000000169,70.0,0.3,10.0,0.01
-2.0600000000001693,70.0,0.3,10.0,0.01
-2.0400000000001697,70.0,0.3,10.0,0.01
-2.02000000000017,70.0,0.3,10.0,0.01
-2.0000000000001705,70.0,0.3,10.0,0.01
-1.980000000000171,70.0,0.3,10.0,0.01
-1.9600000000001714,70.0,0.3,10.0,0.01
-1.9400000000001718,70.0,0.3,10.0,0.01
-1.9200000000001722,70.0,0.3,10.0,0.01
-1.9000000000001727,70.0,0.3,10.0,0.01
-1.880000000000173,70.0,0.3,10.0,0.01
-1.8600000000001735,70.0,0.3,10.0,0.01
-1.840000000000174,70.0,0.3,10.0,0.01
-1.8200000000001744,70.0,0.3,10.0,0.01
-1.8000000000001748,70.0,0.3,10.0,0.01
-1.7800000000001752,70.0,0.3,10.0,0.01
-1.7600000000001756,70.0,0.3,10.0,0.01
-1.740000000000176,70.0,0.3,10.0,0.01
-1.7200000000001765,70.0,0.3,10.0,0.01
-1.700000000000177,70.0,0.3,10.0,0.01
-1.6800000000001774,70.0,0.3,10.0,0.01
-1.6600000000001778,70.0,0.3,10.0,0.01
-1.6400000000001782,70.0,0.3,10.0,0.01
-1.6200000000001786,70.0,0.3,10.0,0.01
-1.600000000000179,70.0,0.3,10.0,0.01
-1.5800000000001795,70.0,0.3,10.0,0.01
-1.56000000000018,70.0,0.3,10.0,0.01
-1.5400000000001803,70.0,0.3,10.0,0.01
-1.5200000000001808,70.0,0.3,10.0,0.01
-1.5000000000001812,70.0,0.3,10.0,0.01
-1.4800000000001816,70.0,0.3,10.0,0.01
-1.460000000000182,70.0,0.3,10.0,0.01
-1.4400000000001825,70.0,0.3,10.0,0.01
-1.420000000000183,70.0,0.3,10.0,0.01
-1.4000000000001833,70.0,0.3,10.0,0.01
-1.3800000000001837,70.0,0.3,10.0,0.01
-1.3600000000001842,70.0,0.3,10.0,0.01
-1.3400000000001846,70.0,0.3,10.0,0.01
-1.320000000000185,70.0,0.3,10.0,0.01
-1.3000000000001855,70.0,0.3,10.0,0.01
-1.2800000000001859,70.0,0.3,10.0,0.01
-1.2600000000001863,70.0,0.3,10.0,0.01
-1.2400000000001867,70.0,0.3,10.0,0.01
-1.2200000000001872,70.0,0.3,10.0,0.01
-1.2000000000001876,70.0,0.3,10.0,0.01
-1.180000000000188,70.0,0.3,10.0,0.01
-1.1600000000001884,70.0,0.3,10.0,0.01
-1.1400000000001889,70.0,0.3,10.0,0.01
-1.1200000000001893,70.0,0.3,10.0,0.01
-1.1000000000001897,70.0,0.3,10.0,0.01
-1.0800000000001901,70.0,0.3,10.0,0.01
-1.0600000000001906,70.0,0.3,10.0,0.01
-1.040000000000191,70.0,0.3,10.0,0.01
-1.0200000000001914,70.0,0.3,10.0,0.01
-1.0000000000001918,70.0,0.3,10.0,0.01
-0.9800000000001923,70.0,0.3,10.0,0.01
-0.9600000000001927,70.0,0.3,10.0,0.01
-0.9400000000001931,70.0,0.3,10.0,0.01
-0.9200000000001936,70.0,0.3,10.0,0.01
-0.900000000000194,70.0,0.3,10.0,0.01
-0.8800000000001944,70.0,0.3,10.0,0.01
-0.8600000000001948,70.0,0.3,10.0,0.01
-0.8400000000001953,70.0,0.3,10.0,0.01
-0.8200000000001957,70.0,0.3,10.0,0.01
-0.8000000000001961,70.0,0.3,10.0,0.01
-0.7800000000001965,70.0,0.3,10.0,0.01
-0.760000000000197,70.0,0.3,10.0,0.01
-0.7400000000001974,70.0,0.3,10.0,0.01
-0.7200000000001978,70.0,0.3,10.0,0.01
-0.7000000000001982,70.0,0.3,10.0,0.01
-0.6800000000001987,70.0,0.3,10.0,0.01
-0.6600000000001991,70.0,0.3,10.0,0.01
-0.6400000000001995,70.0,0.3,10.0,0.01
-0.6200000000002,70.0,0.3,10.0,0.01
-0.6000000000002004,70.0,0.3,10.0,0.01
-0.5800000000002008,70.0,0.3,10.0,0.01
-0.5600000000002012,70.0,0.3,10.0,0.01
-0.5400000000002017,70.0,0.3,10.0,0.01
-0.5200000000002021,70.0,0.3,10.0,0.01
-0.5000000000002025,70.0,0.3,10.0,0.01
-0.48000000000020293,70.0,0.3,10.0,0.01
-0.46000000000020336,70.0,0.3,10.0,0.01
-0.4400000000002038,70.0,0.3,10.0,0.01
-0.4200000000002042,70.0,0.3,10.0,0.01
-0.40000000000020464,70.0,0.3,10.0,0.01
-0.38000000000020506,70.0,0.3,10.0,0.01
-0.3600000000002055,70.0,0.3,10.0,0.01
-0.3400000000002059,70.0,0.3,10.0,0.01
-0.32000000000020634,70.0,0.3,10.0,0.01
-0.30000000000020677,70.0,0.3,10.0,0.01
-0.2800000000002072,70.0,0.3,10.0,0.01
-0.2600000000002076,70.0,0.3,10.0,0.01
-0.24000000000020805,70.0,0.3,10.0,0.01
-0.22000000000020847,70.0,0.3,10.0,0.01
-0.2000000000002089,70.0,0.3,10.0,0.01
-0.18000000000020933,70.0,0.3,10.0,0.01
-0.16000000000020975,70.0,0.3,10.0,0.01
-0.14000000000021018,70.0,0.3,10.0,0.01
-0.1200000000002106,70.0,0.3,10.0,0.01
-0.10000000000021103,70.0,0.3,10.0,0.01
-0.08000000000021146,70.0,0.3,10.0,0.01
-0.060000000000211884,70.0,0.3,10.0,0.01
-0.04000000000021231,70.0,0.3,10.0,0.01
-0.020000000000212736,70.0,0.3,10.0,0.01
-2.1316282072803006e-13,70.0,0.3,10.0,0.01
0.01999999999978641,69.99997768595199,0.299999880032,10.021197998271774,0.010111974394878804
0.039999999999785985,69.999910767616,0.299999520256,10.042391986175772,0.010223897559038804
0.05999999999978556,69.999799280704,0.299998920864,10.063581953343775,0.010335769461758805
0.07999999999978513,69.999643260928,0.299998082048,10.084767889407772,0.010447590072318802
0.0999999999997847,69.999442744,0.299997004,10.105949783999773,0.0105593593599988
0.11999999999978428,69.999197765632,0.299995686912,10.12712762675177,0.010671077294078799
0.13999999999978385,69.998908361536,0.29999413097600003,10.148301407295772,0.010782743843838798
0.15999999999978343,69.998574567424,0.299992336384,10.169471115263772,0.010894358978558796
0.179999999999783,69.998196419008,0.29999030332800003,10.190636740287772,0.011005922667518793
0.19999999999978257,69.997773952,0.299988032,10.21179827199977,0.01111743487999879
0.21999999999978215,69.99730720211201,0.299985522592,10.232955700031772,0.01122889558527879
0.23999999999978172,69.996796205056,0.29998277529600004,10.25410901401577,0.011340304752638787
0.2599999999997813,69.996240996544,0.299979790304,10.27525820358377,0.011451662351358787
0.27999999999978087,69.99564161228801,0.299976567808,10.29640325836777,0.011562968350718785
0.29999999999978044,69.994998088,0.29997310800000004,10.317544167999769,0.011674222719998783
0.31999999999978,69.99431045939201,0.29996941107200004,10.338680922111767,0.011785425428478775
0.3399999999997796,69.99357876217601,0.29996547721600003,10.359813510335766,0.011896576445438779
0.35999999999977916,69.99280303206402,0.29996130662400006,10.380941922303768,0.012007675740158779
0.37999999999977874,69.99198330476801,0.29995689948800003,10.402066147647767,0.012118723281918773
0.3999999999997783,69.991119616,0.29995225600000003,10.423186175999767,0.012229719039998773
0.4199999999997779,69.990212001472,0.2999473763520001,10.444301996991765,0.012340662983678771
0.43999999999977746,69.98926049689601,0.29994226073600005,10.465413600255765,0.012451555082238767
0.45999999999977703,69.988265137984,0.2999369093440001,10.486520975423764,0.012562395304958769
0.4799999999997766,69.987225960448,0.2999313223680001,10.507624112127765,0.012673183621118765
0.4999999999997762,69.98614300000001,0.29992550000000007,10.528722999999765,0.012783919999998759
0.5199999999997758,69.98501629235201,0.2999194424320001,10.549817628671764,0.012894604410878762
