age_ka_bp,temp_anomaly_C,sea_level_m,ice_volume_eurasia_sle,ice_volume_na_sle,ice_volume_total_sle,insolation_65N_jul_Wm2,eccentricity,obliquity_deg,precession,isotope_total
214.0,-5.9665,-20.148,-12.118,-5.3655,-17.4835,469.98,0.04926,24.459,0.01048,0.3346
215.0,-4.3194,-20.842,-12.318,-5.6886,-18.0066,480.68,0.049294,24.412,-0.00297,0.3099
216.0,-3.2808,-23.222,-13.123,-6.791,-19.914,489.2,0.049305,24.338,-0.01624,0.3307
217.0,-3.3962,-27.637,-14.559,-8.9127,-23.4717,494.74,0.049292,24.24,-0.02831,0.4072
218.0,-3.3673,-34.817,-16.926,-12.548,-29.473999999999997,496.72,0.049256,24.118,-0.03824,0.5291
219.0,-4.458,-46.65,-21.796,-17.69,-39.486000000000004,494.83,0.049194,23.975,-0.04524,0.6984
220.0,-7.0834,-58.541,-27.356,-22.532,-49.888000000000005,489.13,0.049105,23.813,-0.04873,0.8592
221.0,-8.2619,-70.063,-32.838,-27.233,-60.071,479.96,0.04899,23.637,-0.04839,1.0036
222.0,-9.3973,-78.434,-36.387,-31.331,-67.718,468.0,0.048846,23.45,-0.0442,1.1147
223.0,-11.043,-82.144,-38.206,-33.135,-71.34100000000001,454.16,0.048672,23.258,-0.03645,1.1495
224.0,-11.421,-83.319,-38.911,-33.529,-72.44,439.5,0.048469,23.064,-0.02575,1.1321
225.0,-11.195,-83.075,-39.028,-33.359,-72.387,425.1,0.048234,22.875,-0.01297,1.0761
226.0,-10.059,-81.812,-38.294,-33.06,-71.354,412.02,0.047967,22.695,0.00084,1.0202
227.0,-8.8932,-79.504,-36.291,-33.123,-69.41399999999999,401.18,0.047668,22.53,0.01449,0.9625
228.0,-8.0996,-77.72,-33.888,-33.982,-67.87,393.28,0.047336,22.385,0.02679,0.9451
229.0,-7.368,-74.199,-30.818,-34.124,-64.94200000000001,388.8,0.046971,22.264,0.03667,0.9577
230.0,-7.3639,-68.94,-27.978,-32.547,-60.525,387.98,0.046571,22.171,0.04325,0.9763
231.0,-8.9035,-60.85,-24.789,-28.988,-53.777,390.76,0.046137,22.109,0.04597,0.962
232.0,-10.883,-49.836,-20.955,-23.313,-44.268,396.84,0.045669,22.079,0.04465,0.868
233.0,-10.753,-39.261,-17.499,-17.53,-35.028999999999996,405.67,0.045166,22.084,0.03946,0.7425
234.0,-10.45,-29.278,-14.294,-11.858,-26.152,416.49,0.044629,22.122,0.03097,0.6067
235.0,-9.1822,-22.262,-12.125,-7.5619,-19.6869,428.38,0.044057,22.191,0.02003,0.4754
236.0,-7.8511,-19.591,-11.531,-5.6555,-17.186500000000002,440.35,0.043452,22.291,0.00769,0.3722
237.0,-6.0566,-18.042,-11.384,-4.3906,-15.7746,451.39,0.042814,22.417,-0.0049,0.2963
238.0,-3.8438,-17.939,-11.42,-4.1329,-15.552900000000001,460.66,0.042143,22.566,-0.01663,0.2501
239.0,-2.9202,-18.964,-11.724,-4.6318,-16.355800000000002,467.49,0.04144,22.733,-0.02653,0.2425
240.0,-2.3828,-21.156,-12.445,-5.6719,-18.1169,471.47,0.040707,22.912,-0.03385,0.2784
241.0,-1.7135,-25.917,-14.2,-7.7653,-21.9653,472.52,0.039945,23.099,-0.03811,0.365
242.0,-2.7889,-33.986,-16.948,-11.764,-28.712,470.84,0.039155,23.288,-0.03915,0.4987
243.0,-4.5817,-44.663,-20.839,-16.967,-37.806,466.84,0.038338,23.475,-0.03706,0.6488
244.0,-5.8698,-57.124,-25.185,-23.412,-48.596999999999994,461.15,0.037498,23.654,-0.03221,0.8199
245.0,-7.2802,-67.596,-28.644,-29.368,-58.012,454.46,0.036635,23.82,-0.02517,0.9689
246.0,-9.1725,-74.336,-30.334,-33.89,-64.224,447.48,0.035753,23.971,-0.01663,1.0647
247.0,-10.449,-79.052,-31.189,-37.192,-68.381,440.85,0.034853,24.103,-0.00735,1.1146
248.0,-10.84,-83.175,-31.843,-40.13,-71.973,435.14,0.033939,24.213,0.00193,1.148
