parameter,fixed_value,training_rmse,excess_over_best,relative_excess,prediction_rmse
tau_carbon_kyr,1281.034531097298,0.8891129413981351,0.03456778553282991,0.04045167806003986,1.933203085130708
tau_carbon_kyr,2320.794416806388,0.8778787446316614,0.02333358876635616,0.027305272993711802,1.869770574023426
tau_carbon_kyr,4204.482076268572,0.8777798270569377,0.023234671191632472,0.027189518344534105,1.8230409523391897
tau_carbon_kyr,7617.076894725406,0.8723596242601884,0.01781446839488321,0.02084672562077124,1.7913875937341064
tau_carbon_kyr,13799.526164623723,0.8732056928710987,0.01866053700579351,0.02183680625618667,1.7892839635250035
tau_carbon_kyr,25000.0,0.8965760156945957,0.042030859829290446,0.04918506592753469,1.857259253747183
carbon_offset,-10.0,0.9387697978979075,0.08422464203260227,0.09856078576364652,2.0864911364775747
carbon_offset,-8.333333333333334,0.9351845827921778,0.08063942692687254,0.09436531981182168,2.0793171352686626
carbon_offset,-6.666666666666666,0.9302772568355302,0.07573210097022498,0.0886227023234826,2.068914100203746
carbon_offset,-5.0,0.9231838755327147,0.06863871966740953,0.08032193406784519,2.052334884808659
carbon_offset,-3.333333333333333,0.9118086819036034,0.05726352603829821,0.06701053261522925,2.012876738404794
carbon_offset,-1.666666666666666,0.884957145944339,0.030411990079033835,0.035588511467529074,1.9223483776979102
carbon_offset,0.0,0.8545955974918737,5.044162656853146e-05,5.902745597739033e-05,2.0411170049564076
carbon_offset,1.6666666666666679,0.8946007385439654,0.04005558267866016,0.04687357058165079,1.98231946482845
carbon_offset,3.333333333333334,0.9144196382525592,0.05987448238725401,0.07006590813404777,2.036243674233671
carbon_offset,5.0,0.9236476493952785,0.06910249352997333,0.08086464835202387,2.0643075142722123
carbon_offset,6.666666666666668,0.9300872250554845,0.07554206919017925,0.08840032463081016,2.078710654301576
carbon_offset,8.333333333333336,0.9347317169188275,0.08018656105352229,0.09383537020033313,2.0860867754660775
carbon_offset,10.0,0.93819412692856,0.08364897106325475,0.09788712801086855,2.093731041458963
