final_obliquity_deg,final_eccentricity,attractor_ice_mean,attractor_temperature_mean,attractor_spread_temperature_k,delta10_temperature_k,delta50_temperature_k,delta200_temperature_k,attractor_spread_ice_fraction,delta10_ice_fraction,delta50_ice_fraction,delta200_ice_fraction,attractor_spread_co2_ppm,delta10_co2_ppm,delta50_co2_ppm,delta200_co2_ppm,attractor_spread_productivity,delta10_productivity,delta50_productivity,delta200_productivity
12.0,0.18,0.9998737325726768,-2.5837649987593503,3.064215547965432e-14,0.002129865407424658,6.624567428170636e-06,8.659739592076221e-15,2.220446049250313e-15,1.9787924685266134e-05,1.2012301031649741e-07,5.551115123125783e-16,6.252776074688882e-12,0.5255139729588052,0.001725091374424892,2.2737367544323206e-13,5.329070518200751e-15,0.00034803303931871254,1.086132249444871e-06,5.551115123125783e-17
12.0,0.3,0.1931766614301261,0.9165732576567365,2.664477773246955,0.056782968978741466,0.02531404433319573,0.0018513603190060124,0.8953400666964904,0.019743440994704646,0.00764357540643874,0.0005565149678465435,114.78801634231954,2.250762645573815,0.46080228293699577,0.03243524111935869,0.36888556553208396,2.413376634730069e-05,2.431539914449221e-05,4.663089060774617e-06
18.0,0.0,0.9999921586049997,-3.1672609908226046,3.019806626980426e-14,0.02047008194313027,6.754353093962884e-05,1.9984014443252818e-14,2.220446049250313e-15,5.508481566995904e-07,4.261635655478102e-09,0.0,6.764366844436154e-12,5.430184506960046,0.01804278737958498,5.4285465012071654e-12,4.718447854656915e-15,0.003079945117505284,1.0203962505256348e-05,3.497202527569243e-15
18.0,0.02,0.9999882712653971,-3.160208232448806,3.019806626980426e-14,0.02215196888861759,7.302052339364096e-05,2.220446049250313e-14,2.220446049250313e-15,8.999203055526372e-07,6.939125773985921e-09,2.55351295663786e-15,6.764366844436154e-12,5.8651913115950265,0.019486646175636224,7.73070496506989e-12,4.6629367034256575e-15,0.0033363277900219646,1.1047698088212377e-05,2.220446049250313e-15
18.0,0.05,0.9999763987257021,-3.123145244902552,3.064215547965432e-14,0.025116849337374347,8.234415390506733e-05,2.3092638912203256e-14,2.220446049250313e-15,2.0940768077348793e-06,1.6049433337883556e-08,3.1086244689504383e-15,6.764366844436154e-12,6.603336121822338,0.021855772679572283,8.242295734817162e-12,4.829470157119431e-15,0.003809216518634695,1.255415513864988e-05,3.6637359812630166e-15
18.0,0.1,0.9999003703364031,-2.989832183395466,2.9753977059954195e-14,0.029928894598298283,9.631174025170885e-05,3.4638958368304884e-14,2.220446049250313e-15,1.1981550986250866e-05,8.91482296316859e-08,0.0,6.650680006714538e-12,7.685807532909678,0.025101894340053832,1.0402345651527867e-11,4.9404924595819466e-15,0.004648984265468559,1.5061063027843602e-05,6.744604874597826e-15
18.0,0.18,0.997694290583543,-2.577589591561179,3.019806626980426e-14,0.034059360768487146,0.00010139789768226493,2.5757174171303632e-14,2.4424906541753444e-15,0.000614045670821739,3.0202849248262e-06,1.3877787807814457e-14,6.30961949354969e-12,7.291609474109549,0.02184347121468022,8.071765478234738e-12,5.218048215738236e-15,0.0055969092560127776,1.7206937333952288e-05,5.467848396278896e-15
18.0,0.3,0.00013038062092589028,1.493930893792879,1.511152829314355e-06,0.006590789510032891,0.00028644739232974725,1.9635027697195717e-05,4.52712253861049e-07,0.00028039339869753894,0.000100911994367986,5.882244058038043e-06,2.5706088308652397e-05,0.930259682695393,0.011862043288445534,0.0003340519252787999,9.028981562408944e-09,3.1046115394062213e-06,2.016697330853301e-06,1.1733757004916967e-07
23.5,0.0,0.9999402923923607,-3.1671114989722917,2.9753977059954195e-14,0.028826892570918083,9.514048638115113e-05,2.886579864025407e-14,2.220446049250313e-15,5.802200884641451e-06,4.46751807769985e-08,0.0,6.821210263296962e-12,7.62907859836622,0.025453233186851776,1.0402345651527867e-11,4.718447854656915e-15,0.004329437373886358,1.4370623944326422e-05,5.329070518200751e-15
23.5,0.02,0.9999030845106495,-3.1599627611884404,3.019806626980426e-14,0.03164691461430569,0.00010434915946500034,4.529709940470639e-14,2.220446049250313e-15,1.0608916193199924e-05,8.101953719030774e-08,1.1102230246251565e-16,6.764366844436154e-12,8.356647499659886,0.027918055233811856,1.290345608140342e-11,4.718447854656915e-15,0.004755405201245344,1.578301419577488e-05,7.494005416219807e-15
23.5,0.05,0.999777284354987,-3.1225721984640065,3.019806626980426e-14,0.002557646897991761,8.510759184066075e-06,4.440892098500626e-15,2.220446049250313e-15,3.54668681751269e-05,2.1635037167344606e-07,7.771561172376096e-16,6.707523425575346e-12,0.6964164448168617,0.0024764837477846413,4.149569576838985e-12,4.718447854656915e-15,0.00038118522933305865,1.278397527976205e-06,1.6653345369377348e-15
23.5,0.1,0.9987868905597493,-2.9866415476721606,3.019806626980426e-14,0.02927616753684359,9.297631346050217e-05,3.019806626980426e-14,2.4424906541753444e-15,0.0002760913783718122,1.4094876482073637e-06,4.6629367034256575e-15,6.59383658785373e-12,6.975015197025016,0.02272799918765145,3.325340003357269e-12,4.9404924595819466e-15,0.00449065387136352,1.470310657777918e-05,5.662137425588298e-15
23.5,0.18,0.3441191918844858,-0.7456856081860003,2.5840473408045104,0.13768857581810034,0.056755018371137306,0.005612983555771889,0.9225505958257957,0.04654835349882732,0.01972318241021619,0.0019315288475715495,165.74783181564018,5.30184467594583,2.439624626074405,0.23028786162160486,0.572438173164766,0.02148352893343325,0.00859499532151281,0.0008348266103165303
23.5,0.3,2.1665589470793416e-06,1.4943589016160033,2.4850097091189127e-08,0.006816902556278426,4.052575378710177e-05,3.148914169415207e-07,7.444219328303747e-09,4.4516761775028466e-06,1.6119957256254407e-06,9.432983296028898e-08,4.225294958359882e-07,0.8315579484252851,0.005653600602727238,5.354740380880685e-06,1.4980361395799946e-10,2.999444556228692e-06,2.947432770072922e-08,1.899046309095098e-09
30.0,0.0,0.9989157066509161,-3.164158631627692,2.930988785010413e-14,0.01110898123162829,3.582605818830409e-05,1.9539925233402755e-14,2.220446049250313e-15,0.00021834225700989585,1.2288477067023962e-06,9.658940314238862e-15,6.764366844436154e-12,2.6405007324444227,0.00830548248507057,3.069544618483633e-12,4.6629367034256575e-15,0.001662114004145912,5.529769585371769e-06,2.6645352591003757e-15
30.0,0.02,0.9980150306029244,-3.154523065156397,2.9753977059954195e-14,0.022972223708053408,7.365085857524711e-05,2.220446049250313e-14,2.4424906541753444e-15,0.0004719610286433862,2.5118075375751836e-06,1.4210854715202004e-14,6.821210263296962e-12,5.369272126922311,0.01706064766622717,6.764366844436154e-12,4.718447854656915e-15,0.003424956690283018,1.1397892232561935e-05,4.718447854656915e-15
30.0,0.05,0.9944037013026791,-3.1071139542912944,2.353672812205332e-14,0.028813522962838123,8.51920843800702e-05,1.709743457922741e-14,2.6645352591003757e-15,0.0019340742857561488,1.0082156205626358e-05,5.4511950509095186e-14,6.764366844436154e-12,5.261113170087867,0.012315297712035544,5.900346877751872e-11,3.6637359812630166e-15,0.004409485973080343,1.4002791435208106e-05,4.08006961549745e-15
30.0,0.1,0.4224162025063659,-1.3838971086530778,2.563567033988991,0.16782694070324303,0.0703502455228763,0.0077178375667177335,0.9243429311269372,0.05810452910155389,0.025403308087557905,0.0027577074330963607,181.39438501199353,7.568169214565884,3.702729391675831,0.3877383449353857,0.6039367235940585,0.03404986468438037,0.013957557478619542,0.0015110168471820784
30.0,0.18,0.00017555336935587255,0.2205539365941235,1.7816189054609133e-06,0.0009186745559176257,0.0003803574043379776,2.2860117212780695e-05,6.117301451284652e-07,0.0003773707696459982,0.00013421424714496748,7.854546515904197e-06,7.172680747657978e-05,0.3077142552660348,0.017134399023248648,0.0009230981327590371,2.5342753284807173e-07,0.00014619490568479332,5.402535007803522e-05,3.2516336485599595e-06
30.0,0.3,6.310335061859335e-09,1.4943661131841912,7.235056997956235e-11,0.006305909198072168,4.223551220339239e-05,8.917041549594273e-10,2.1678266289590185e-11,1.243723089344334e-08,4.535003561455359e-09,2.672102722270892e-10,1.2323368991928874e-09,0.7671043908272424,0.0051297774733853885,1.5204449255179497e-08,4.36206626375224e-13,2.6848890677388937e-06,2.8643328819910607e-09,5.380584866543359e-12
