tau_carbon_memory_myr,tau_regolith_recovery_myr,regolith_erosion_rate,bedrock_ice_gain,delta10_temperature_k,delta200_temperature_k,ablated10_temperature_k,delta10_ice_fraction,delta200_ice_fraction,ablated10_ice_fraction,delta10_co2_ppm,delta200_co2_ppm,ablated10_co2_ppm,delta10_productivity,delta200_productivity,ablated10_productivity
7.368062997280774,736.8062997280774,0.03,0.5,0.026011639259019947,1.4816656439542442e-06,7.862927198232228e-09,0.0003028473991170677,5.394394497759691e-07,2.773858920335215e-11,6.393536957553124,0.00015232327015723968,1.695833191206475e-06,0.00393151054666821,2.7481060668743673e-07,1.1308683156574517e-09
7.368062997280774,1213.9244620058346,0.03,0.5,0.025877027337504854,1.662783705391746e-06,7.862927198232228e-09,0.00030664875507285805,6.047747858617392e-07,2.773858920335215e-11,6.355608487775356,0.00017031860312499703,1.695833191206475e-06,0.00391171478151614,3.08341432830872e-07,1.1308683156574517e-09
7.368062997280774,2000.0,0.03,0.5,0.025793861494207038,1.7827520772950578e-06,7.862927198232228e-09,0.0003089437890417268,6.48018145199547e-07,2.773858920335215e-11,6.3322275931435,0.00018220395440948778,1.695833191206475e-06,0.0038994796040560387,3.3054798029286125e-07,1.1308683156574517e-09
12.139244620058346,5.0,0.03,0.5,0.04001444284457345,7.114213662617885e-10,7.862927198232228e-09,0.00012015335269893734,2.8070878954622458e-12,2.773858920335215e-11,9.725894595278874,1.860796032815415e-07,1.695833191206475e-06,0.0058470160090888235,1.0899880997783384e-10,1.1308683156574517e-09
12.139244620058346,8.237744862210329,0.03,0.5,0.03953683481864978,7.052056716361221e-10,7.862927198232228e-09,0.00010252231797514,2.621347583442457e-12,2.773858920335215e-11,9.62661599413181,1.846314034992247e-07,1.695833191206475e-06,0.005775617527062904,1.0801279315408863e-10,1.1308683156574517e-09
12.139244620058346,13.572088082974531,0.03,0.5,0.03856663035828811,6.908749128342606e-10,7.862927198232228e-09,9.011318173035576e-05,2.3105406476986445e-12,2.773858920335215e-11,9.402336453222574,1.8115696320819552e-07,1.695833191206475e-06,0.005633390644697631,1.0577072551143374e-10,1.1308683156574517e-09
12.139244620058346,22.360679774997894,0.03,0.5,0.037012983788376586,6.656968309926015e-10,7.862927198232228e-09,0.00010266953950111013,5.110800671559446e-12,2.773858920335215e-11,9.012377600803916,1.7072460423150915e-07,1.695833191206475e-06,0.005409217552034121,1.0208131562272627e-10,1.1308683156574517e-09
12.139244620058346,36.84031498640386,0.03,0.5,0.03507848846951611,3.029348993877079e-09,7.862927198232228e-09,0.000139861331933,1.1333435301352779e-09,2.773858920335215e-11,8.50628801627255,3.43556166626513e-07,1.695833191206475e-06,0.005132009501027296,5.651248358162775e-10,1.1308683156574517e-09
12.139244620058346,60.696223100291725,0.03,0.5,0.03314388049436623,4.0563507663904375e-08,7.862927198232228e-09,0.0001827366550634646,1.6640157585179338e-08,2.773858920335215e-11,8.002042480536375,6.0767161755848065e-06,1.695833191206475e-06,0.004854835613689615,7.6970551321498e-09,1.1308683156574517e-09
12.139244620058346,100.0,0.03,0.5,0.03151160704292666,1.9485395830187713e-07,7.862927198232228e-09,0.0002171152138747412,7.719113437332226e-08,2.773858920335215e-11,7.5821160525013624,2.6392191159629874e-05,1.695833191206475e-06,0.004620664415103087,3.6717982238032576e-08,1.1308683156574517e-09
12.139244620058346,164.75489724420657,0.03,0.5,0.030298175626640278,4.885740800819605e-07,7.862927198232228e-09,0.00024036872662847042,1.8959074049584856e-07,2.773858920335215e-11,7.26757656626458,6.213764729068316e-05,1.695833191206475e-06,0.004446286371461772,9.169507847461844e-08,1.1308683156574517e-09
12.139244620058346,271.4417616594907,0.03,0.5,0.029462966988956563,8.412793663925555e-07,7.862927198232228e-09,0.00025495041009515607,3.227268487449031e-07,2.773858920335215e-11,7.052312693982202,0.00010318687589006004,1.695833191206475e-06,0.00432685006226749,1.5753810062024698e-07,1.1308683156574517e-09
12.139244620058346,447.213595499958,0.03,0.5,0.02892933864095748,1.1630691136854665e-06,7.862927198232228e-09,0.0002638310596493332,4.4324841486087507e-07,2.773858920335215e-11,6.911757355538441,0.0001396724057940446,1.695833191206475e-06,0.004250335847430134,2.1751919235257766e-07,1.1308683156574517e-09
