test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
R5-001,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.2129997887532227e-06
R5-002,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8430000636726618e-06
R5-003,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.942999915627297e-06
R5-004,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.9630001588666346e-06
R5-005,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.1129999367985874e-06
R5-006,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.942999915627297e-06
R5-007,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8219998310087249e-06
R5-008,R5,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.762000010785414e-06
R6-001,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",1.5020000319054816e-06
R6-002,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.210001058410853e-07
R6-003,R6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.610001375724096e-07
