phase,temperature,pressure,gibbs_energy,composition,state,modele_thermodynamique,modele_pression,reference,temperature_max_source
alabandite,1800.0,20000.0,-387263.753,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1800.0,30000.0,-365802.932,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1800.0,50000.0,-322881.29,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alunite,298.15,1.0,-4659302.4,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,298.15,1000.0,-4629970.638,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,298.15,5000.0,-4512526.145,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,298.15,10000.0,-4365720.529,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,298.15,20000.0,-4072109.296,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,298.15,30000.0,-3778498.064,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,298.15,50000.0,-3191275.598,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,1.0,-4699436.231,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,1000.0,-4670104.469,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,5000.0,-4552659.976,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,10000.0,-4405854.36,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,20000.0,-4112243.127,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,30000.0,-3818631.895,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,400.0,50000.0,-3231409.43,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,1.0,-4751351.558,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,1000.0,-4722019.796,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,5000.0,-4604575.303,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,10000.0,-4457769.687,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,20000.0,-4164158.454,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,30000.0,-3870547.222,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,500.0,50000.0,-3283324.757,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,1.0,-4814278.663,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,1000.0,-4784946.9,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,5000.0,-4667502.407,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,10000.0,-4520696.791,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,20000.0,-4227085.559,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,30000.0,-3933474.326,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
alunite,600.0,50000.0,-3346251.861,KAl3(OH)6(SO4)2,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,650.0
anglesite,298.15,1.0,-813172.952,PbSO4,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1100.0
anglesite,298.15,1000.0,-808382.564,PbSO4,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1100.0
anglesite,298.15,5000.0,-789201.83,PbSO4,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1100.0
anglesite,298.15,10000.0,-765225.913,PbSO4,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1100.0
anglesite,298.15,20000.0,-717274.078,PbSO4,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1100.0
anglesite,298.15,30000.0,-669322.244,PbSO4,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1100.0
