source_file,condition,generation,well,well_index,time_seconds,temperature_c,turbidity_A400
FR_inc.xlsx,FR,gen0,F10,70,1813.0,22.2,0.497
FR_inc.xlsx,FR,gen0,F11,71,1813.0,22.2,0.572
FR_inc.xlsx,FR,gen0,F12,72,1813.0,22.2,0.481
FR_inc.xlsx,FR,gen0,G1,73,1813.0,22.2,0.579
FR_inc.xlsx,FR,gen0,G2,74,1813.0,22.2,0.427
FR_inc.xlsx,FR,gen0,G3,75,1813.0,22.2,0.546
FR_inc.xlsx,FR,gen0,G4,76,1813.0,22.2,0.456
FR_inc.xlsx,FR,gen0,G5,77,1813.0,22.2,0.465
FR_inc.xlsx,FR,gen0,G6,78,1813.0,22.2,0.512
FR_inc.xlsx,FR,gen0,G7,79,1813.0,22.2,0.619
FR_inc.xlsx,FR,gen0,G8,80,1813.0,22.2,0.527
FR_inc.xlsx,FR,gen0,G9,81,1813.0,22.2,0.337
FR_inc.xlsx,FR,gen0,G10,82,1813.0,22.2,0.461
FR_inc.xlsx,FR,gen0,G11,83,1813.0,22.2,0.425
FR_inc.xlsx,FR,gen0,G12,84,1813.0,22.2,0.472
FR_inc.xlsx,FR,gen0,H1,85,1813.0,22.2,0.431
FR_inc.xlsx,FR,gen0,H2,86,1813.0,22.2,0.51
FR_inc.xlsx,FR,gen0,H3,87,1813.0,22.2,0.411
FR_inc.xlsx,FR,gen0,H4,88,1813.0,22.2,0.547
FR_inc.xlsx,FR,gen0,H5,89,1813.0,22.2,0.514
FR_inc.xlsx,FR,gen0,H6,90,1813.0,22.2,0.48
FR_inc.xlsx,FR,gen0,H7,91,1813.0,22.2,0.558
FR_inc.xlsx,FR,gen0,H8,92,1813.0,22.2,0.597
FR_inc.xlsx,FR,gen0,H9,93,1813.0,22.2,0.445
FR_inc.xlsx,FR,gen0,H10,94,1813.0,22.2,0.601
FR_inc.xlsx,FR,gen0,H11,95,1813.0,22.2,0.624
FR_inc.xlsx,FR,gen0,H12,96,1813.0,22.2,0.392
FR_inc.xlsx,FR,gen0,A1,1,2413.0,22.2,0.453
FR_inc.xlsx,FR,gen0,A2,2,2413.0,22.2,0.468
FR_inc.xlsx,FR,gen0,A3,3,2413.0,22.2,0.362
FR_inc.xlsx,FR,gen0,A4,4,2413.0,22.2,0.632
FR_inc.xlsx,FR,gen0,A5,5,2413.0,22.2,0.402
