scenario,temperature_k,pressure_mpa,species,mole_fraction,source_file
vacuum,1650.0,1e-10,SO(g),0.00596,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,S2(g),2.33e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,KCl(g),1.18e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,HF(g),6.27e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,NaCl(g),2.62e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,Co(g),0.000264,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,K(g),0.00021,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,CrO2(g),0.000511,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,FeO(g),0.000232,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,Mg(g),0.122,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,Mn(g),0.000698,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,PO2(g),9.34e-05,Murchison-vacc-Zn-GAS.csv
