time,eccentricity,obliquity,precession
-21600.000,0.2087009197837878E-01,0.4104761821751337E+00,0.1671808659374136E+01
-21601.000,0.2152406844263025E-01,0.4127899927767230E+00,0.1433760960548545E+01
-21602.000,0.2236924859533337E-01,0.4149018167973509E+00,0.1189601199505076E+01
-21603.000,0.2318860165924512E-01,0.4167588213901677E+00,0.9428971480660575E+00
-21604.000,0.2402434456808275E-01,0.4183250795771694E+00,0.6937843352979387E+00
-21605.000,0.2497591452378583E-01,0.4195702098888259E+00,0.4411949048770447E+00
-21606.000,0.2592663739082803E-01,0.4204641872813755E+00,0.1853560546877677E+00
-21607.000,0.2682851252338283E-01,0.4210001308460161E+00,0.6209337402957063E+01
-21608.000,0.2787471482582185E-01,0.4211700733397698E+00,0.5949409631546544E+01
-21609.000,0.2883880479438438E-01,0.4209766198789539E+00,0.5684479419349294E+01
-21610.000,0.2983953749954434E-01,0.4204373053326448E+00,0.5417669313907531E+01
-21611.000,0.3085645011343707E-01,0.4195709501048708E+00,0.5149258912366244E+01
-21612.000,0.3184646060014407E-01,0.4184022345555770E+00,0.4878377679769459E+01
-21613.000,0.3289651315191489E-01,0.4169707553599176E+00,0.4603347604274969E+01
-21614.000,0.3384342953003191E-01,0.4153116846497492E+00,0.4329131920640901E+01
-21615.000,0.3485430073188123E-01,0.4134642452667195E+00,0.4051303240060195E+01
-21616.000,0.3585720843237584E-01,0.4114773547981178E+00,0.3771267702787611E+01
-21617.000,0.3676512042021862E-01,0.4093926537745581E+00,0.3490772591944472E+01
-21618.000,0.3771321421784832E-01,0.4072530968192581E+00,0.3207017694747222E+01
-21619.000,0.3864159022376702E-01,0.4051074526643318E+00,0.2923640581929206E+01
-21620.000,0.3947272995859341E-01,0.4029969133100222E+00,0.2635827299867742E+01
-21621.000,0.4032405706694175E-01,0.4009620028338768E+00,0.2349092603084243E+01
-21622.000,0.4113894408872920E-01,0.3990459035134917E+00,0.2060380814986399E+01
-21623.000,0.4188201692617072E-01,0.3972821226261059E+00,0.1768325861220903E+01
-21624.000,0.4263449579071452E-01,0.3957053728910983E+00,0.1477812861334815E+01
-21625.000,0.4328140506917420E-01,0.3943459979119220E+00,0.1185025301517056E+01
-21626.000,0.4400613998749495E-01,0.3932295907801910E+00,0.8903643057460826E+00
-21627.000,0.4457244275334103E-01,0.3923719378990023E+00,0.5968036551932938E+00
-21628.000,0.4516303728853932E-01,0.3917918681117714E+00,0.3012777401955642E+00
-21629.000,0.4575309792912967E-01,0.3914938782177820E+00,0.6238736973930514E-02
-21630.000,0.4624279033806300E-01,0.3914815222819466E+00,0.5993668281005191E+01
-21631.000,0.4671770684504058E-01,0.3917545808868833E+00,0.5697261034089258E+01
-21632.000,0.4721259420846916E-01,0.3923059409005451E+00,0.5403505728472850E+01
-21633.000,0.4761467176529170E-01,0.3931228734061666E+00,0.5106353835199567E+01
-21634.000,0.4802211446469006E-01,0.3941941635704393E+00,0.4812419875680455E+01
-21635.000,0.4837343180909535E-01,0.3954975803911417E+00,0.4518933504412642E+01
-21636.000,0.4873519187171119E-01,0.3970106404504555E+00,0.4224575694787777E+01
-21637.000,0.4902499443542897E-01,0.3987064499360390E+00,0.3932329756531272E+01
-21638.000,0.4926850448393007E-01,0.4005548990248665E+00,0.3641197046565340E+01
-21639.000,0.4955820786720915E-01,0.4025173146936572E+00,0.3349877757530997E+01
-21640.000,0.4972979169780962E-01,0.4045604416293206E+00,0.3060625372309723E+01
-21641.000,0.4989724713622951E-01,0.4066422963235768E+00,0.2771304508621879E+01
-21642.000,0.5007728682653256E-01,0.4087205304109194E+00,0.2484436198445147E+01
-21643.000,0.5018374414302851E-01,0.4107567777986837E+00,0.2197007434176395E+01
-21644.000,0.5026214506115791E-01,0.4127106682607858E+00,0.1911244905561729E+01
-21645.000,0.5035652711955046E-01,0.4145405685039304E+00,0.1626843924786873E+01
-21646.000,0.5036664246904456E-01,0.4162099852813056E+00,0.1342709127470382E+01
-21647.000,0.5042736085192857E-01,0.4176833793140484E+00,0.1058991611730187E+01
-21648.000,0.5035942914837434E-01,0.4189240424165988E+00,0.7770234043397277E+00
