source_file,condition,generation,well,well_index,n,initial,maximum,final,linear_slope_per_hour,peak_gain,post_peak_loss
FR_inc.xlsx,FR,gen1,F6,66,103,0.817,0.907,0.412,-0.021093638799806667,0.09000000000000008,0.49500000000000005
FR_inc.xlsx,FR,gen1,F7,67,103,0.789,0.988,0.552,-0.01548203224531033,0.19899999999999995,0.43599999999999994
FR_inc.xlsx,FR,gen1,F8,68,103,0.779,0.905,0.38,-0.028718907876817613,0.126,0.525
FR_inc.xlsx,FR,gen1,F9,69,103,0.802,1.001,0.516,-0.02174535430303559,0.19899999999999984,0.4849999999999999
FR_inc.xlsx,FR,gen1,G1,73,103,0.704,0.951,0.5,-0.01418295040196806,0.247,0.45099999999999996
FR_inc.xlsx,FR,gen1,G10,82,103,0.774,1.012,0.579,-0.016281553398058233,0.238,0.43300000000000005
FR_inc.xlsx,FR,gen1,G11,83,103,0.786,0.939,0.507,-0.01398644730483675,0.1529999999999999,0.43199999999999994
FR_inc.xlsx,FR,gen1,G12,84,103,0.764,0.914,0.534,-0.016196678820893536,0.15000000000000002,0.38
FR_inc.xlsx,FR,gen1,G2,74,103,0.732,0.9,0.409,-0.019909216711329763,0.16800000000000004,0.49100000000000005
FR_inc.xlsx,FR,gen1,G3,75,103,0.716,0.807,0.326,-0.026094912797082977,0.09100000000000008,0.48100000000000004
FR_inc.xlsx,FR,gen1,G4,76,103,0.724,0.917,0.342,-0.033489742125378884,0.19300000000000006,0.575
FR_inc.xlsx,FR,gen1,G5,77,103,0.891,1.033,0.512,-0.02171036330887842,0.1419999999999999,0.5209999999999999
FR_inc.xlsx,FR,gen1,G6,78,103,0.809,0.992,0.597,-0.019021987435750995,0.18299999999999994,0.395
FR_inc.xlsx,FR,gen1,G7,79,103,0.791,0.931,0.408,-0.02478225629310722,0.14,0.5230000000000001
FR_inc.xlsx,FR,gen1,G8,80,103,0.814,0.909,0.417,-0.02363631770856209,0.09500000000000008,0.49200000000000005
FR_inc.xlsx,FR,gen1,G9,81,103,0.775,1.181,0.415,-0.042222400386592224,0.406,0.766
FR_inc.xlsx,FR,gen1,H1,85,103,0.855,0.872,0.444,-0.017732196986337434,0.017000000000000015,0.428
FR_inc.xlsx,FR,gen1,H10,94,103,0.752,0.844,0.351,-0.024351557351842856,0.09199999999999997,0.493
FR_inc.xlsx,FR,gen1,H11,95,103,0.813,0.949,0.428,-0.026398036286956895,0.136,0.5209999999999999
FR_inc.xlsx,FR,gen1,H12,96,103,0.628,0.71,0.372,-0.012630958133813612,0.08199999999999996,0.33799999999999997
FR_inc.xlsx,FR,gen1,H2,86,103,0.46,0.554,0.218,-0.018669243948512895,0.09400000000000003,0.3360000000000001
FR_inc.xlsx,FR,gen1,H3,87,103,0.524,0.833,0.452,-0.011246672231252438,0.30899999999999994,0.38099999999999995
FR_inc.xlsx,FR,gen1,H4,88,103,0.879,1.052,0.545,-0.018126125730351866,0.17300000000000004,0.507
FR_inc.xlsx,FR,gen1,H5,89,103,0.732,0.912,0.496,-0.015921100030751617,0.18000000000000005,0.41600000000000004
FR_inc.xlsx,FR,gen1,H6,90,103,0.85,0.991,0.505,-0.017848174669419604,0.14100000000000001,0.486
FR_inc.xlsx,FR,gen1,H7,91,103,0.743,0.84,0.324,-0.02670722224662829,0.09699999999999998,0.516
FR_inc.xlsx,FR,gen1,H8,92,103,0.88,0.911,0.485,-0.01481061371523961,0.031000000000000028,0.42600000000000005
FR_inc.xlsx,FR,gen1,H9,93,103,0.496,0.815,0.389,-0.025603523261433007,0.31899999999999995,0.42599999999999993
FR_inc.xlsx,FR,gen2,A1,1,103,0.72,0.958,0.535,-0.01417089135878393,0.238,0.42299999999999993
FR_inc.xlsx,FR,gen2,A10,10,103,0.811,1.009,0.542,-0.013808790581206295,0.19799999999999984,0.46699999999999986
FR_inc.xlsx,FR,gen2,A11,11,103,0.802,1.044,0.564,-0.014525348152703923,0.242,0.4800000000000001
FR_inc.xlsx,FR,gen2,A12,12,103,0.701,0.766,0.522,-0.010826648508544536,0.06500000000000006,0.244
FR_inc.xlsx,FR,gen2,A2,2,103,0.843,1.064,0.576,-0.015215151781399604,0.22100000000000009,0.4880000000000001
FR_inc.xlsx,FR,gen2,A3,3,103,0.687,0.909,0.452,-0.021025106532530858,0.22199999999999998,0.457
FR_inc.xlsx,FR,gen2,A4,4,103,0.779,1.021,0.582,-0.016404186618635484,0.24199999999999988,0.43899999999999995
FR_inc.xlsx,FR,gen2,A5,5,103,0.713,0.713,0.318,-0.020074946184597778,0.0,0.39499999999999996
FR_inc.xlsx,FR,gen2,A6,6,103,0.817,1.04,0.618,-0.012395707947107107,0.2230000000000001,0.42200000000000004
FR_inc.xlsx,FR,gen2,A7,7,103,0.787,1.005,0.58,-0.014163642753591332,0.21799999999999986,0.42499999999999993
FR_inc.xlsx,FR,gen2,A8,8,103,0.688,0.697,0.289,-0.021539164433510505,0.009000000000000008,0.408
FR_inc.xlsx,FR,gen2,A9,9,103,0.774,0.997,0.574,-0.014828669331810339,0.22299999999999998,0.42300000000000004
FR_inc.xlsx,FR,gen2,B1,13,103,0.684,0.87,0.453,-0.01602422791371961,0.18599999999999994,0.417
FR_inc.xlsx,FR,gen2,B10,22,103,0.707,1.003,0.544,-0.016352919211000256,0.29599999999999993,0.45899999999999985
FR_inc.xlsx,FR,gen2,B11,23,103,0.748,0.998,0.603,-0.011042788736106821,0.25,0.395
FR_inc.xlsx,FR,gen2,B12,24,103,0.81,0.985,0.561,-0.01097372929754423,0.17499999999999993,0.42399999999999993
FR_inc.xlsx,FR,gen2,B2,14,103,0.794,0.993,0.549,-0.017056561085972834,0.19899999999999995,0.44399999999999995
FR_inc.xlsx,FR,gen2,B3,15,103,0.78,0.976,0.562,-0.014171879804946573,0.19599999999999995,0.4139999999999999
FR_inc.xlsx,FR,gen2,B4,16,103,0.719,0.801,0.477,-0.01167328559504457,0.08200000000000007,0.32400000000000007
FR_inc.xlsx,FR,gen2,B5,17,103,0.78,0.981,0.519,-0.02413548302069144,0.20099999999999996,0.46199999999999997
FR_inc.xlsx,FR,gen2,B6,18,103,0.822,0.932,0.451,-0.018490203400254753,0.1100000000000001,0.48100000000000004
FR_inc.xlsx,FR,gen2,B7,19,103,0.637,0.639,0.3,-0.016509950358037147,0.0020000000000000018,0.339
FR_inc.xlsx,FR,gen2,B8,20,103,0.8,0.966,0.502,-0.018907920748583166,0.16599999999999993,0.46399999999999997
FR_inc.xlsx,FR,gen2,B9,21,103,0.946,1.092,0.686,-0.0077717567983130315,0.14600000000000013,0.406
FR_inc.xlsx,FR,gen2,C1,25,103,0.687,0.794,0.384,-0.015943043535562067,0.10699999999999998,0.41000000000000003
FR_inc.xlsx,FR,gen2,C10,34,103,0.819,0.986,0.533,-0.014904450204278856,0.16700000000000004,0.45299999999999996
FR_inc.xlsx,FR,gen2,C11,35,103,0.649,0.792,0.402,-0.018772964899178447,0.14300000000000002,0.39
FR_inc.xlsx,FR,gen2,C12,36,103,0.674,0.871,0.389,-0.0211934059658217,0.19699999999999995,0.482
FR_inc.xlsx,FR,gen2,C2,26,103,0.826,0.988,0.651,-0.00955287088696568,0.16200000000000003,0.33699999999999997
FR_inc.xlsx,FR,gen2,C3,27,103,0.657,0.838,0.426,-0.015275446997320183,0.18099999999999994,0.412
FR_inc.xlsx,FR,gen2,C4,28,103,0.75,0.912,0.368,-0.025099086236436294,0.16200000000000003,0.544
FR_inc.xlsx,FR,gen2,C5,29,103,0.831,1.017,0.552,-0.01525884110178794,0.18599999999999994,0.46499999999999986
FR_inc.xlsx,FR,gen2,C6,30,103,0.237,0.653,0.234,-0.023400408557747193,0.41600000000000004,0.41900000000000004
