panel,group,row_label,replicate_index,value,source_file
Rhodamine B,before resuspending,565.0,10,3032.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,11,7024.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,12,5948.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,13,1864.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,14,1783.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,15,1337.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,16,3073.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,17,3978.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,18,4807.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,19,1839.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,20,1463.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,21,3863.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,22,5787.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,23,1512.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,24,1463.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,25,1526.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,26,2204.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,27,2062.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,28,1692.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,29,2285.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,30,1997.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,31,3732.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,32,4755.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,33,4724.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,34,4480.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,35,2520.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,36,5056.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,37,4942.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,38,3195.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,39,2245.0,Fig3-data.xlsx
