sample_id,tracer,final_value,uncertainty,candidate_source,unit,compilation,reference
s_MZ-13 [19488],W,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-14 [19488],W,0.8,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-15 [19488],W,2.1,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-16 [19488],W,1.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-17 [19488],W,0.8,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-18 [19488],W,1.1,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-19 [19488],W,0.6,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-25 [19488],W,3.8,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MCAR [22234],MO,4.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_BS [22234],MO,4.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_SDM [22234],MO,6.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_TH1 [22234],MO,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_CLP [22234],MO,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_NP [22234],MO,5.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_MCAR [22234],W,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_BS [22234],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_SDM [22234],W,3.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_TH2 [22234],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_TH1 [22234],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_CLP [22234],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_NP [22234],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[22234]
s_IBL 1 [25797],W,0.937372,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25797]
s_IBL 2  [25797],W,0.837293,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25797]
s_IB346 [28762],W,0.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB350 [28762],W,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB365 [28762],W,0.5,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB266 [28762],W,0.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB307 [28762],W,2.3,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB313 [28762],W,2.5,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB316 [28762],W,2.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB322 [28762],W,0.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB329 [28762],W,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB332 [28762],W,0.251871,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB356 [28762],W,1.1,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB357 [28762],W,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_CA1 [28762],W,1.3,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB353 [28762],W,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_IB354 [28762],W,0.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[28762]
s_OL1633 [26368],OS,0.000491,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1637 [26368],OS,0.002719,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1638 [26368],OS,0.001904,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639 [26368],OS,0.006409,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639-1 [26368],OS,0.0057,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1640 [26368],OS,0.004385,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1668 [26368],OS,0.002835,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1669 [26368],OS,0.001954,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1633 [26368],IR,0.000306,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1636 [26368],IR,0.002306,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1637 [26368],IR,0.001078,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1638 [26368],IR,0.000989,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639 [26368],IR,0.002276,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639-1 [26368],IR,0.002346,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1640 [26368],IR,0.00179,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1668 [26368],IR,0.001587,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1669 [26368],IR,0.001184,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1633 [26368],RU,0.004101,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1636 [26368],RU,0.007528,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1637 [26368],RU,0.00864,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1638 [26368],RU,0.007201,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639 [26368],RU,0.008132,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639-1 [26368],RU,0.008556,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1640 [26368],RU,0.006672,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1668 [26368],RU,0.004147,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1669 [26368],RU,0.006511,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1633 [26368],PT,0.003044,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1636 [26368],PT,0.002699,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1637 [26368],PT,0.001091,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1638 [26368],PT,0.00091,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639 [26368],PT,0.000498,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639-1 [26368],PT,0.000779,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1640 [26368],PT,0.000407,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1668 [26368],PT,0.00207,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1669 [26368],PT,0.003146,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1633 [26368],PD,0.003297,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1636 [26368],PD,0.003038,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1637 [26368],PD,0.001128,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1638 [26368],PD,0.000579,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639 [26368],PD,0.000321,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639-1 [26368],PD,0.000756,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1640 [26368],PD,0.00019,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1668 [26368],PD,0.001009,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1669 [26368],PD,0.003984,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1633 [26368],RE,2.6e-05,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1637 [26368],RE,1e-05,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1638 [26368],RE,5e-06,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639 [26368],RE,1e-05,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1639-1 [26368],RE,8e-06,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1640 [26368],RE,4e-06,,PLU | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
s_OL1668 [26368],RE,0.000178,,MET | ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ppm,georoc_cratons_archeens,[26368]
