time_years,elapsed_years,baseline,r00,r01,r02,r03,r04,r05,r06,r07,ensemble_mean,ensemble_std,rms_difference_vs_baseline,median_abs_difference_vs_baseline
-768000,768000,0.0164413448580529,0.0164413457543031,0.0164413441049028,0.016441344239317,0.0164413453135267,0.0164413470834815,0.016441345228728,0.0164413460299699,0.0164413442755746,0.01644134525372545,9.68951673825628e-10,1.046625106519737e-09,6.859430003169908e-10
-767000,767000,0.0158848775562032,0.0158848776938786,0.0158848773150801,0.0158848776293315,0.0158848777048871,0.0158848779589272,0.0158848773409492,0.0158848778771359,0.0158848776400663,0.015884877645031988,2.1212520163862635e-10,2.2997316062322075e-10,1.8196894858990564e-10
-766000,766000,0.0152922242887563,0.0152922243884549,0.0152922242187991,0.0152922241036704,0.0152922243188424,0.0152922245461917,0.0152922243815582,0.0152922243928846,0.0152922241428949,0.015292224311662024,1.3820357951293845e-10,1.4008890613024386e-10,1.0191344990140294e-10
-765000,765000,0.01461878033105,0.0146187806535781,0.0146187799639051,0.0146187801906236,0.0146187804983682,0.0146187811675503,0.0146187803072748,0.014618780813707,0.014618780202445,0.014618780474681512,3.6593880206935656e-10,3.931173087384352e-10,2.4492315033736167e-10
-764000,764000,0.0139476012097884,0.0139476012149683,0.0139476011503569,0.0139476013080755,0.013947601246941,0.0139476012293316,0.0139476010928961,0.0139476012854941,0.0139476012920533,0.0139476012275146,6.948963264992503e-11,7.17149020506295e-11,6.756860002066212e-11
-763000,763000,0.0132474896842757,0.0132474896799345,0.0132474896347625,0.0132474895125934,0.0132474896330142,0.0132474897573794,0.0132474896657859,0.0132474896483215,0.013247489588879,0.0132474896400838,6.617101228112755e-11,7.957089207680013e-11,5.038734967460767e-11
-762000,762000,0.0125228067095121,0.012522806688065,0.0125228066789915,0.0125228067873763,0.0125228066990504,0.0125228066536388,0.0125228066178721,0.0125228067231018,0.012522806770855,0.012522806702368862,5.317765737395785e-11,5.365528002820596e-11,4.319694948962116e-11
-761000,761000,0.0117746259175317,0.0117746253647551,0.0117746265073324,0.0117746262344066,0.0117746255903108,0.0117746244074039,0.0117746258919109,0.0117746251330788,0.011774626171943,0.011774625662642688,6.424948097817553e-10,6.912076312433349e-10,4.399987501083058e-10
-760000,760000,0.0109668723961132,0.0109668725070796,0.0109668722140206,0.0109668721816613,0.0109668723899364,0.0109668727581668,0.0109668723750719,0.0109668725285484,0.0109668722526375,0.010966872400890313,1.8061227958917758e-10,1.8067544475730347e-10,1.3795545001499265e-10
-759000,759000,0.0102082292498596,0.0102082286054543,0.0102082298434337,0.0102082296784607,0.010208228906688,0.0102082275738792,0.0102082290356009,0.0102082284107188,0.0102082296376867,0.010208228961490288,7.170410905407165e-10,7.728549575860626e-10,5.110876010600007e-10
-758000,758000,0.0094069324373839,0.0094069320549047,0.0094069329309546,0.0094069325672655,0.0094069321439185,0.0094069313107351,0.0094069325960627,0.0094069318165445,0.0094069325014289,0.009406932240226814,4.829578153336259e-10,5.216504273787947e-10,3.37972299452316e-10
-757000,757000,0.0085383919771973,0.0085383915663827,0.0085383921536126,0.0085383922469831,0.0085383917402583,0.0085383910752633,0.0085383915435624,0.0085383915214072,0.0085383922994589,0.008538391768366063,4.0203434170678365e-10,4.5303653014984715e-10,3.665380993514433e-10
-756000,756000,0.0077843267527256,0.0077843262190202,0.0077843273791828,0.0077843270209786,0.0077843264165456,0.0077843252554897,0.0077843268205532,0.0077843259607757,0.0077843269494863,0.007784326502754013,6.397847027567499e-10,6.868844593018345e-10,4.349426999117334e-10
-755000,755000,0.0069653288557048,0.0069653291145559,0.00696532848847,0.0069653287322083,0.0069653290315495,0.0069653296189732,0.0069653287297596,0.006965329295407,0.0069653287773162,0.006965328973529962,3.4185148898178066e-10,3.6158707026811945e-10,2.1734789966074142e-10
-754000,754000,0.0062039046566205,0.0062039041423492,0.0062039049761794,0.0062039050179652,0.0062039043181437,0.0062039034005547,0.0062039042670337,0.0062039040298592,0.0062039050248809,0.00620390439712075,5.397838749556544e-10,5.989213235604275e-10,3.789235999626661e-10
-753000,753000,0.0054935693099501,0.005493570140222,0.0054935686466059,0.0054935687628743,0.0054935698015635,0.0054935713533847,0.005493569743576,0.0054935704096015,0.0054935687524781,0.00549356970128825,8.894417392103298e-10,9.71726378819216e-10,6.104080999339012e-10
-752000,752000,0.0048865114955543,0.0048865117990647,0.0048865111284797,0.0048865113827981,0.0048865117012917,0.0048865123121486,0.0048865114338837,0.0048865119918373,0.004886511398469,0.004886511643496599,3.593676141195415e-10,3.88628365041225e-10,2.546238996557759e-10
-751000,751000,0.0044730924161718,0.0044730925484831,0.0044730922697126,0.004473092286467,0.0044730924961329,0.0044730927834722,0.0044730924337189,0.0044730926134697,0.0044730923164583,0.004473092468489337,1.6746769094907802e-10,1.754495718429243e-10,1.3100804989452097e-10
-750000,750000,0.0041631523821999,0.0041631530676131,0.0041631517806931,0.0041631519809947,0.0041631527706179,0.004163154082803,0.0041631526717685,0.0041631533027357,0.0041631519630556,0.004163152702535199,7.34973399822362e-10,8.017484661111643e-10,5.103255500474302e-10
-749000,749000,0.0042236083774448,0.0042236083575085,0.0042236084566946,0.0042236084193068,0.0042236084021508,0.0042236082830311,0.0042236084505145,0.0042236083491625,0.0042236083867237,0.004223608388136562,5.392750269250528e-11,5.497717106529154e-11,3.507214961159799e-11
-748000,748000,0.0045129202264485,0.0045129201516753,0.0045129202997868,0.0045129202175437,0.0045129202054248,0.0045129200830688,0.004512920223507,0.0045129201144849,0.0045129202425724,0.004512920192257963,6.661559954925781e-11,7.487743950420818e-11,4.718099999231895e-11
-747000,747000,0.0050467472696736,0.0050467470248569,0.0050467474291151,0.0050467475426838,0.0050467471464369,0.0050467466689037,0.0050467470616575,0.0050467469881112,0.005046747517518,0.005046747172410387,2.8379063665012807e-10,2.999954299487258e-10,2.4633054970801815e-10
-746000,746000,0.0057380700481291,0.0057380698246099,0.0057380704195123,0.0057380701570775,0.0057380699157686,0.0057380693561901,0.0057380702352849,0.0057380696599809,0.0057380700963977,0.005738069958102737,3.200064762190911e-10,3.3242877552516434e-10,2.0533750004145257e-10
-745000,745000,0.0065239356751644,0.0065239351654727,0.0065239360415911,0.0065239360430471,0.006523935402875,0.0065239344670045,0.0065239353126661,0.0065239350459645,0.0065239360712522,0.00652393544373415,5.383873012843911e-10,5.86021199985853e-10,3.819852498546106e-10
-744000,744000,0.0074834263367418,0.0074834261402492,0.0074834265999075,0.0074834264864703,0.007483426263884,0.0074834257835796,0.0074834263575483,0.0074834260610262,0.0074834264599919,0.007483426269082124,2.491487424010214e-10,2.5817228247880684e-10,1.7311055020008403e-10
-743000,743000,0.0083631269090764,0.0083631264655783,0.0083631274094798,0.0083631271080021,0.0083631265886347,0.0083631256953115,0.0083631269213858,0.0083631262299348,0.0083631270852032,0.008363126687941275,5.200688911811151e-10,5.651304228064896e-10,3.8196989928657166e-10
-742000,742000,0.0093665580592544,0.0093665577700287,0.0093665582313145,0.0093665582952007,0.0093665579140688,0.0093665573967356,0.0093665577716761,0.0093665577346013,0.0093665583275595,0.00936655793014815,3.073430508970414e-10,3.3335892802024615e-10,2.7794169916994793e-10
-741000,741000,0.0103523198894834,0.0103523200715827,0.0103523199538391,0.0103523197301672,0.0103523200157564,0.0103523201865722,0.0103523202974176,0.0103523200398555,0.0103523196707677,0.010352319995744801,1.979320730009668e-10,2.246521545166758e-10,1.7070775001903904e-10
-740000,740000,0.0113856900271602,0.0113856897234754,0.0113856901860701,0.0113856902446877,0.0113856898435329,0.0113856893490859,0.0113856897146571,0.0113856896715319,0.0113856902899486,0.0113856898778737,3.1088472834157504e-10,3.4487066167242764e-10,2.8323659997248063e-10
-739000,739000,0.0124071850312337,0.0124071855143576,0.0124071845883502,0.012407184697326,0.0124071852696677,0.012407186250789,0.0124071852486418,0.0124071856400451,0.0124071847042547,0.012407185239179013,5.319912587166391e-10,5.711881931185414e-10,3.8839560040360155e-10
-738000,738000,0.0134116645697277,0.0134116650426831,0.013411664141985,0.0134116644456802,0.0134116649975788,0.0134116657941679,0.0134116646495806,0.0134116652991305,0.0134116644311101,0.013411664850239525,5.040428396853298e-10,5.76841458637356e-10,4.2779689946731425e-10
-737000,737000,0.014515852522622,0.0145158530499255,0.0145158519205631,0.0145158521907733,0.0145158527803821,0.0145158539423439,0.0145158525874072,0.0145158532335242,0.0145158522278044,0.01451585274159046,6.170106340866422e-10,6.547131508239973e-10,4.2957610038585337e-10
-736000,736000,0.0155138164407745,0.0155138171908847,0.0155138156416506,0.015513816030082,0.0155138169614729,0.0155138184791749,0.0155138165286583,0.0155138175213846,0.0155138160844496,0.015513816804719699,8.688279446571781e-10,9.419756397130969e-10,6.354042994885511e-10
-735000,735000,0.0165441699960113,0.0165441703970335,0.016544169683749,0.0165441698773971,0.0165441702759671,0.0165441709399492,0.016544170193735,0.016544170545256,0.0165441698148866,0.016544170215996686,3.918245587292836e-10,4.4935515589473306e-10,2.961090504738362e-10
-734000,734000,0.0176031904356058,0.0176031907452609,0.0176031901236479,0.0176031901818075,0.0176031906243181,0.0176031912908305,0.0176031905309281,0.0176031908402343,0.01760319022666,0.017603190570460912,3.7007109243338136e-10,3.9387626865252477e-10,2.8172669926107563e-10
-733000,733000,0.0186029784953395,0.0186029784846053,0.0186029786393876,0.0186029783937128,0.0186029784211826,0.0186029783671015,0.0186029787448646,0.0186029783681722,0.0186029783662992,0.018602978473165728,1.3429891164718763e-10,1.3611713346853217e-10,1.2770265053752006e-10
-732000,732000,0.0195932444608252,0.0195932442402544,0.0195932446243155,0.0195932446392323,0.0195932443253348,0.0195932439209225,0.0195932442900857,0.0195932441909726,0.0195932446466642,0.01959324435972275,2.4284694644872256e-10,2.63051981075061e-10,1.821230492804471e-10
-731000,731000,0.0205987432117563,0.0205987430530512,0.0205987434812164,0.0205987431459684,0.020598743063654,0.0205987427497159,0.0205987433762206,0.0205987428975157,0.0205987431584561,0.02059874311572479,2.2147231311234612e-10,2.413960162021818e-10,1.6158469874627546e-10
-730000,730000,0.0215570967470852,0.0215570963590482,0.0215570971954012,0.0215570969588638,0.0215570964900177,0.0215570956801642,0.0215570967122672,0.0215570961906611,0.0215570969409469,0.021557096565921287,4.5916415482147834e-10,4.936112685071471e-10,3.2255225053401393e-10
-729000,729000,0.0225463567799874,0.0225463565588299,0.0225463569611049,0.0225463569792848,0.0225463566482882,0.0225463562006685,0.0225463566046179,0.0225463565293547,0.0225463569788471,0.0225463566826245,2.5779566240662164e-10,2.7556875381336707e-10,1.9907854878487008e-10
