obliquity_deg,eccentricity,temperature,ice,co2,regolith,memory,direction,mode
40.0,0.16,0.08679908064437741,1.6992063854552221e-06,213.7007700190957,0.9999752568048073,0.9373349011134755,forward,M2
40.0,0.17,0.15159154675382056,8.034684142605342e-07,212.2521370627022,0.9999875416862426,0.9389524800958245,forward,M2
40.0,0.18,0.22107390573107588,3.6802961215347916e-07,210.77153557314764,0.9999938795485745,0.9401969809315487,forward,M2
40.0,0.19,0.29540277504845636,1.6306475546001538e-07,209.26982717120057,0.9999970671937223,0.9409648388992723,forward,M2
40.0,0.2,0.374749553623274,6.978003750176723e-08,207.75881386816664,0.9999986295297753,0.9411404758765984,forward,M2
40.0,0.0,-0.42321054609808645,0.010403600078440626,228.01938839374026,0.9464423824330093,0.9057415644567666,reverse,M2
40.0,0.01,-0.4109218033403334,0.006696127336143193,227.450143069182,0.9647813759321664,0.9080671314084952,reverse,M2
40.0,0.02,-0.3988052141864813,0.004327925204150667,226.95528601568685,0.9769654942629045,0.9098808850928269,reverse,M2
40.0,0.03,-0.38539787890512556,0.002785752361186455,226.46451915310908,0.9850877498166827,0.911478170101174,reverse,M2
40.0,0.04,-0.3698538222169375,0.0017761747953216238,225.93842761874112,0.9904755769002004,0.9130230466687468,reverse,M2
40.0,0.05,-0.35163757416641256,0.0011176136330718265,225.35353745612903,0.9940128255230791,0.9146108145236882,reverse,M2
40.0,0.06,-0.3303871350792742,0.0006921042622645317,224.69567372965543,0.9963026934852787,0.9162958179810695,reverse,M2
40.0,0.07,-0.3058446455791548,0.00042093076766250845,223.9566216116409,0.9977603850172847,0.9181053665422099,reverse,M2
40.0,0.08,-0.27781749860896165,0.00025100074423673125,223.13226591269577,0.9986709917047283,0.92004740323326,reverse,M2
40.0,0.09,-0.24615450054352092,0.00014653751264407627,222.22146015789252,0.9992282935814214,0.9221150591382264,reverse,M2
40.0,0.1,-0.21073016151362964,8.365492694708759e-05,221.22529175807756,0.9995619880461166,0.9242894920613179,reverse,M2
40.0,0.11,-0.17143378466108328,4.664515339420857e-05,220.14658470022397,0.9997572354894915,0.9265416734146708,reverse,M2
40.0,0.12,-0.12816163231646677,2.5375714616932605e-05,218.9895585820733,0.9998687472759038,0.9288334625292252,reverse,M2
40.0,0.13,-0.080811193977396,1.3454124382717673e-05,217.75959806884828,0.9999308477062495,0.9311181598772303,reverse,M2
