time_years,elapsed_years,eccentricity,obliquity_deg,long_peri_moving_rad,insolation_65n_solstice_w_m2,spin_x,spin_y,spin_z
-17404000,17404000,0.0475573255248944,22.58588269993645,2.210904414436695,519.0411034377051,0.020405620457137053,-0.3807251924695775,0.9244630541415717
-17405000,17405000,0.0472149181220557,22.565455583997903,2.0717447714978094,521.9193003061902,0.05485702407306164,-0.37996635064313805,0.9233722322491529
-17406000,17406000,0.046917795526951,22.54483065611023,1.931442386516129,524.0158645303204,0.0890794988474629,-0.37616492214895103,0.9222606975415133
-17407000,17407000,0.0465335831540629,22.523757210189345,1.7914377694350292,525.1134151602482,0.12280510916634384,-0.36935664311625455,0.9211376527688651
-17408000,17408000,0.0460714674435546,22.502154496780545,1.6523151788186878,525.19663590654,0.155770116226538,-0.3596009732828298,0.9200123971473495
-17409000,17409000,0.0456831490883665,22.480083771192696,1.5109665016449074,524.4457828941456,0.18771787788647318,-0.34698030828830767,0.9188942615894118
-17410000,17410000,0.0451267431775016,22.457169165732886,1.3713701373300302,522.611674788135,0.2184000402201447,-0.3315993315195075,0.9177926267777787
-17411000,17411000,0.0445682349458568,22.43358536555486,1.2305606781249554,519.9222970367332,0.2475786655431661,-0.31358437974341413,0.9167167725905332
-17412000,17412000,0.0440142758230844,22.40903649852028,1.090667589263803,516.4736210271589,0.2750286310172129,-0.29308207566231526,0.915675788173012
-17413000,17413000,0.0433298306944894,22.383554676454075,0.9495209983843818,512.1912705889558,0.3005386149348356,-0.2702583872544868,0.91467860205192
-17414000,17414000,0.0426501058620709,22.357081130820113,0.808751676528577,507.34957858779404,0.32391328911099704,-0.2452972710153068,0.9137337850652885
-17415000,17415000,0.041919744289062,22.329509162055366,0.6688512094410964,502.0420162752575,0.34497464067237105,-0.21839885924724295,0.9128496237455934
-17416000,17416000,0.0411350465027789,22.300680439150078,0.5278330914528067,496.3390636358257,0.36356322232800814,-0.1897782320991193,0.912033993879509
-17417000,17417000,0.0403150474462107,22.270681212038586,0.3861642422669447,490.4038238236438,0.37953967046122883,-0.15966357352576344,0.9112942345012203
-17418000,17418000,0.0394104253755038,22.239353134598588,0.24722286836051735,484.4778907451655,0.39278551400241624,-0.12829424568474043,0.9106372090542102
-17419000,17419000,0.0385455587299783,22.20658024903555,0.10525963298847724,478.5237412414523,0.40320428397555974,-0.09591889565457383,0.9100691571744223
-17420000,17420000,0.0375562894663469,22.17245403297868,6.2481611670311965,472.80140471630483,0.4107220727040838,-0.06279347172481188,0.9095957117876088
-17421000,17421000,0.0365550385502423,22.136605044460026,6.107663240998255,467.37313525399645,0.41528809805724654,-0.029179366137745345,0.9092218432284797
-17422000,17422000,0.0355151939599547,22.099136713446637,5.966757734812594,462.33095949621327,0.4168752027466502,0.0046589361712759455,0.9089517917077292
-17423000,17423000,0.0344859425465479,22.059909365665103,5.827086031413014,457.7906868445043,0.415479826569796,0.03845599487470011,0.9087891120451044
-17424000,17424000,0.0333128362769438,22.01871078346438,5.684970369026836,453.7654535003801,0.41112208021253355,0.07194710750272734,0.9087366223960108
-17425000,17425000,0.0322148726964687,21.975628240781557,5.546732577089401,450.38079475476593,0.4038456002501297,0.10487085040155053,0.9087963665721096
-17426000,17426000,0.0310654254594497,21.930396979024657,5.406086041638138,447.55632194507064,0.3937168484092681,0.13697109176124247,0.9089697262837783
-17427000,17427000,0.0298343492597807,21.88301966191061,5.265533222332494,445.3942061109897,0.38082495859109905,0.16799862832084977,0.9092572858088082
